customer_id,state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,customer_service_calls,churn,split,has_international_plan,has_voice_mail_plan,total_minutes,total_calls,total_charges,monthly_revenue,estimated_remaining_months,estimated_clv,feedback_text,feedback_category,sentiment,complaint_intensity
CUST_000025,MO,20,415,No,No,0,190.0,109,32.3,258.2,84,21.95,181.5,102,8.17,6.3,6,1.7,0,0,train,0,0,636.0,301,64.12,64.12,18,1154.16,"I use the service a lot, but the monthly cost is becoming high.",pricing,neutral,3
CUST_000026,IL,142,415,No,No,0,84.8,95,14.42,136.7,63,11.62,250.5,148,11.27,14.2,6,3.83,2,0,train,0,0,486.2,312,41.14,41.14,6,246.84,The service works well and I have no major complaints.,service_quality,positive,1
CUST_000027,NH,75,510,No,No,0,226.1,105,38.44,201.5,107,17.13,246.2,98,11.08,10.3,5,2.78,1,0,train,0,0,684.0999999999999,315,69.42999999999999,69.42999999999999,18,1249.74,"I use the service a lot, but the monthly cost is becoming high.",pricing,neutral,3
CUST_000028,LA,172,408,No,No,0,212.0,121,36.04,31.2,115,2.65,293.3,78,13.2,12.6,10,3.4,3,0,train,0,0,549.1,324,55.29,55.29,12,663.48,The service works well and I have no major complaints.,service_quality,positive,1
CUST_000029,AZ,12,408,No,No,0,249.6,118,42.43,252.4,119,21.45,280.2,90,12.61,11.8,3,3.19,1,1,train,0,0,794.0,330,79.67999999999999,79.67999999999999,18,1434.24,"I use the service a lot, but the monthly cost is becoming high.",pricing,neutral,3
CUST_000030,OK,57,408,No,Yes,25,176.8,94,30.06,195.0,75,16.58,213.5,116,9.61,8.3,4,2.24,0,0,train,0,1,593.5999999999999,289,58.49,58.49,12,701.88,The service works well and I have no major complaints.,service_quality,positive,1
CUST_000031,GA,72,415,No,Yes,37,220.0,80,37.4,217.3,102,18.47,152.8,71,6.88,14.7,6,3.97,3,0,train,0,1,604.8000000000001,259,66.72,66.72,18,1200.96,The service works well and I have no major complaints.,service_quality,positive,1
CUST_000032,MA,78,415,No,No,0,130.8,64,22.24,223.7,116,19.01,227.8,108,10.25,10.0,5,2.7,1,0,train,0,0,592.3,293,54.2,54.2,6,325.2,The service works well and I have no major complaints.,service_quality,positive,1
CUST_000033,AK,136,415,Yes,Yes,33,203.9,106,34.66,187.6,99,15.95,101.7,107,4.58,10.5,6,2.84,3,0,train,1,1,503.7,318,58.03,58.03,12,696.36,"The international plan is useful, but it feels too expensive for my usage.",pricing,negative,4
CUST_000034,NJ,149,408,No,No,0,140.4,94,23.87,271.8,92,23.1,188.3,108,8.47,11.1,9,3.0,1,0,train,0,0,611.6,303,58.44,58.44,12,701.28,The service works well and I have no major complaints.,service_quality,positive,1
CUST_000035,GA,98,408,No,No,0,126.3,102,21.47,166.8,85,14.18,187.8,135,8.45,9.4,2,2.54,3,0,train,0,0,490.3,324,46.63999999999999,46.63999999999999,6,279.84,The service works well and I have no major complaints.,service_quality,positive,1
CUST_000036,MD,135,408,Yes,Yes,41,173.1,85,29.43,203.9,107,17.33,122.2,78,5.5,14.6,15,3.94,0,1,train,1,1,513.8,285,56.2,56.2,12,674.4,I am considering switching to another provider because I am not satisfied.,churn_intent,negative,5
CUST_000037,AR,34,510,No,No,0,124.8,82,21.22,282.2,98,23.99,311.5,78,14.02,10.0,4,2.7,2,0,train,0,0,728.5,262,61.92999999999999,61.92999999999999,12,743.16,"I use the service a lot, but the monthly cost is becoming high.",pricing,neutral,3
CUST_000038,ID,160,415,No,No,0,85.8,77,14.59,165.3,110,14.05,178.5,92,8.03,9.2,4,2.48,3,0,train,0,0,438.8,283,39.15,39.15,6,234.9,The service works well and I have no major complaints.,service_quality,positive,1
CUST_000039,WI,64,510,No,No,0,154.0,67,26.18,225.8,118,19.19,265.3,86,11.94,3.5,3,0.95,1,0,train,0,0,648.6,274,58.260000000000005,58.260000000000005,12,699.12,The service works well and I have no major complaints.,service_quality,positive,1
CUST_000040,OR,59,408,No,Yes,28,120.9,97,20.55,213.0,92,18.11,163.1,116,7.34,8.5,5,2.3,2,0,train,0,1,505.5,310,48.3,48.3,6,289.8,The service works well and I have no major complaints.,service_quality,positive,1
CUST_000041,DE,142,408,No,No,0,187.0,133,31.79,134.6,74,11.44,242.2,127,10.9,7.4,5,2.0,2,0,train,0,0,571.1999999999999,339,56.129999999999995,56.129999999999995,12,673.56,The service works well and I have no major complaints.,service_quality,positive,1
CUST_000042,WY,97,415,No,Yes,24,133.2,135,22.64,217.2,58,18.46,70.6,79,3.18,11.0,3,2.97,1,0,train,0,1,432.0,275,47.25,47.25,6,283.5,The service works well and I have no major complaints.,service_quality,positive,1
CUST_000043,IA,52,408,No,No,0,191.9,108,32.62,269.8,96,22.93,236.8,87,10.66,7.8,5,2.11,3,0,train,0,0,706.3,296,68.32,68.32,18,1229.76,"I use the service a lot, but the monthly cost is becoming high.",pricing,neutral,3
CUST_000044,IN,60,408,No,No,0,220.6,57,37.5,211.1,115,17.94,249.0,129,11.21,6.8,3,1.84,1,0,train,0,0,687.5,304,68.49000000000001,68.49000000000001,18,1232.82,"I use the service a lot, but the monthly cost is becoming high.",pricing,neutral,3
CUST_000045,UT,96,415,No,No,0,160.2,117,27.23,267.5,67,22.74,228.5,68,10.28,9.3,5,2.51,2,0,train,0,0,665.5,257,62.76,62.76,12,753.12,"I use the service a lot, but the monthly cost is becoming high.",pricing,neutral,3
CUST_000046,WY,87,415,No,No,0,151.0,83,25.67,219.7,116,18.67,203.9,127,9.18,9.7,3,2.62,5,1,train,0,0,584.3000000000001,329,56.14,56.14,12,673.68,I am considering switching to another provider because I am not satisfied.,churn_intent,negative,5
CUST_000047,IN,81,408,No,No,0,175.5,67,29.84,249.3,85,21.19,270.2,98,12.16,10.2,3,2.75,1,0,train,0,0,705.2,253,65.94,65.94,18,1186.92,"I use the service a lot, but the monthly cost is becoming high.",pricing,neutral,3
CUST_000048,CO,141,415,No,No,0,126.9,98,21.57,180.0,62,15.3,140.8,128,6.34,8.0,2,2.16,1,0,train,0,0,455.7,290,45.370000000000005,45.370000000000005,6,272.22,The service works well and I have no major complaints.,service_quality,positive,1
CUST_000049,CO,121,408,No,Yes,30,198.4,129,33.73,75.3,77,6.4,181.2,77,8.15,5.8,3,1.57,3,1,train,0,1,460.7,286,49.849999999999994,49.849999999999994,6,299.1,I am considering switching to another provider because I am not satisfied.,churn_intent,negative,5
CUST_000050,OK,125,408,No,No,0,229.3,103,38.98,177.4,126,15.08,189.3,95,8.52,12.0,8,3.24,1,0,train,0,0,608.0,332,65.82,65.82,18,1184.76,The service works well and I have no major complaints.,service_quality,positive,1
CUST_000051,ID,174,408,No,No,0,192.1,97,32.66,169.9,94,14.44,166.6,54,7.5,11.4,4,3.08,1,0,train,0,0,540.0,249,57.67999999999999,57.67999999999999,12,692.16,The service works well and I have no major complaints.,service_quality,positive,1
CUST_000052,CA,116,415,No,Yes,34,268.6,83,45.66,178.2,142,15.15,166.3,106,7.48,11.6,3,3.13,2,0,train,0,1,624.7,334,71.41999999999999,71.41999999999999,18,1285.56,The service works well and I have no major complaints.,service_quality,positive,1
CUST_000053,SD,149,408,No,Yes,28,180.7,92,30.72,187.8,64,15.96,265.5,53,11.95,12.6,3,3.4,3,0,train,0,1,646.6,212,62.029999999999994,62.029999999999994,12,744.36,"I use the service a lot, but the monthly cost is becoming high.",pricing,neutral,3
CUST_000054,NC,38,408,No,No,0,131.2,98,22.3,162.9,97,13.85,159.0,106,7.15,8.2,6,2.21,2,0,train,0,0,461.3,307,45.51,45.51,6,273.06,The service works well and I have no major complaints.,service_quality,positive,1
CUST_000055,WA,40,415,No,Yes,41,148.1,74,25.18,169.5,88,14.41,214.1,102,9.63,6.2,5,1.67,2,0,train,0,1,537.9000000000001,269,50.89000000000001,50.89000000000001,6,305.34,The service works well and I have no major complaints.,service_quality,positive,1
CUST_000056,WY,43,415,Yes,No,0,251.5,105,42.76,212.8,104,18.09,157.8,67,7.1,9.3,4,2.51,0,0,train,1,0,631.4,280,70.46,70.46,18,1268.28,"I use the service a lot, but the monthly cost is becoming high.",pricing,neutral,3
CUST_000057,MN,113,408,Yes,No,0,125.2,93,21.28,206.4,119,17.54,129.3,139,5.82,8.3,8,2.24,0,0,train,1,0,469.2000000000001,359,46.88,46.88,6,281.28,The service works well and I have no major complaints.,service_quality,positive,1
CUST_000058,UT,126,408,No,No,0,211.6,70,35.97,216.9,80,18.44,153.5,60,6.91,7.8,1,2.11,1,0,train,0,0,589.8,211,63.42999999999999,63.42999999999999,12,761.16,The service works well and I have no major complaints.,service_quality,positive,1
CUST_000059,TX,150,510,No,No,0,178.9,101,30.41,169.1,110,14.37,148.6,100,6.69,13.8,3,3.73,4,1,train,0,0,510.4,314,55.2,55.2,12,662.4,I am considering switching to another provider because I am not satisfied.,churn_intent,negative,5
CUST_000060,NJ,138,408,No,No,0,241.8,93,41.11,170.5,83,14.49,295.3,104,13.29,11.8,7,3.19,3,0,train,0,0,719.4,287,72.08,72.08,18,1297.44,"I use the service a lot, but the monthly cost is becoming high.",pricing,neutral,3
CUST_000061,MN,162,510,No,Yes,46,224.9,97,38.23,188.2,84,16.0,254.6,61,11.46,12.1,2,3.27,0,0,train,0,1,679.8000000000001,244,68.96,68.96,18,1241.28,"I use the service a lot, but the monthly cost is becoming high.",pricing,neutral,3
CUST_000062,NM,147,510,No,No,0,248.6,83,42.26,148.9,85,12.66,172.5,109,7.76,8.0,4,2.16,3,0,train,0,0,578.0,281,64.84,64.84,18,1167.12,The service works well and I have no major complaints.,service_quality,positive,1
CUST_000063,NV,90,415,No,No,0,203.4,146,34.58,226.7,117,19.27,152.4,105,6.86,7.3,4,1.97,1,0,train,0,0,589.8,372,62.67999999999999,62.67999999999999,12,752.16,The service works well and I have no major complaints.,service_quality,positive,1
CUST_000064,MN,50,415,No,No,0,157.1,90,26.71,223.3,72,18.98,181.4,111,8.16,6.1,2,1.65,1,0,train,0,0,567.9,275,55.49999999999999,55.49999999999999,12,666.0,The service works well and I have no major complaints.,service_quality,positive,1
CUST_000065,DC,82,415,No,No,0,300.3,109,51.05,181.0,100,15.39,270.1,73,12.15,11.7,4,3.16,0,1,train,0,0,763.1000000000001,286,81.75,81.75,18,1471.5,I am considering switching to another provider because I am not satisfied.,churn_intent,negative,5
CUST_000066,NY,144,408,No,No,0,61.6,117,10.47,77.1,85,6.55,173.0,99,7.79,8.2,7,2.21,4,1,train,0,0,319.9,308,27.02,27.02,6,162.12,I am considering switching to another provider because I am not satisfied.,churn_intent,negative,5
CUST_000067,MD,70,408,No,No,0,170.2,98,28.93,155.2,102,13.19,228.6,76,10.29,15.0,2,4.05,1,0,train,0,0,569.0,278,56.459999999999994,56.459999999999994,12,677.52,The service works well and I have no major complaints.,service_quality,positive,1
CUST_000068,WV,144,415,No,No,0,201.1,99,34.19,303.5,74,25.8,224.0,119,10.08,13.2,2,3.56,1,0,train,0,0,741.8000000000001,294,73.63,73.63,18,1325.34,"I use the service a lot, but the monthly cost is becoming high.",pricing,neutral,3
CUST_000069,OR,116,415,Yes,No,0,215.4,104,36.62,204.8,79,17.41,278.5,109,12.53,12.6,5,3.4,3,0,train,1,0,711.3000000000001,297,69.96000000000001,69.96000000000001,18,1259.28,"The international plan is useful, but it feels too expensive for my usage.",pricing,negative,4
CUST_000070,CO,55,408,No,Yes,25,165.6,123,28.15,136.1,95,11.57,175.7,90,7.91,11.0,2,2.97,3,0,train,0,1,488.4,310,50.599999999999994,50.599999999999994,6,303.6,The service works well and I have no major complaints.,service_quality,positive,1
CUST_000071,GA,70,415,No,Yes,24,249.5,101,42.42,259.7,98,22.07,222.7,68,10.02,9.8,4,2.65,1,0,train,0,1,741.6999999999999,271,77.16000000000001,77.16000000000001,18,1388.88,"I use the service a lot, but the monthly cost is becoming high.",pricing,neutral,3
CUST_000072,TX,106,510,No,No,0,210.6,96,35.8,249.2,85,21.18,191.4,88,8.61,12.4,1,3.35,2,1,train,0,0,663.5999999999999,270,68.94,68.94,18,1240.92,I am considering switching to another provider because I am not satisfied.,churn_intent,negative,5
CUST_000073,IN,94,408,No,No,0,157.9,105,26.84,155.0,101,13.18,189.6,84,8.53,8.0,5,2.16,4,1,train,0,0,510.5,295,50.709999999999994,50.709999999999994,6,304.26,"I contacted customer support several times, but my issue was not solved.",customer_support,negative,5
CUST_000074,WV,111,510,No,No,0,214.3,118,36.43,208.5,76,17.72,182.4,98,8.21,12.0,2,3.24,1,0,train,0,0,617.2,294,65.6,65.6,18,1180.8,The service works well and I have no major complaints.,service_quality,positive,1
CUST_000075,KY,74,415,No,Yes,35,154.1,104,26.2,123.4,84,10.49,202.1,57,9.09,10.9,9,2.94,2,0,train,0,1,490.5,254,48.72,48.72,6,292.32,The service works well and I have no major complaints.,service_quality,positive,1
CUST_000076,NJ,128,415,No,No,0,237.9,125,40.44,247.6,93,21.05,208.9,68,9.4,13.9,4,3.75,1,1,train,0,0,708.3,290,74.64,74.64,18,1343.52,I am considering switching to another provider because I am not satisfied.,churn_intent,negative,5
CUST_000077,DC,82,510,No,No,0,143.9,61,24.46,194.9,105,16.57,109.6,94,4.93,11.1,2,3.0,1,0,train,0,0,459.5,262,48.96,48.96,6,293.76,The service works well and I have no major complaints.,service_quality,positive,1
CUST_000078,AR,80,415,No,No,0,124.3,100,21.13,173.0,107,14.71,253.2,62,11.39,7.9,9,2.13,1,0,train,0,0,558.4,278,49.36000000000001,49.36000000000001,6,296.16,The service works well and I have no major complaints.,service_quality,positive,1
CUST_000079,ME,78,415,No,No,0,252.9,93,42.99,178.4,112,15.16,263.9,105,11.88,9.5,7,2.57,3,0,train,0,0,704.7,317,72.6,72.6,18,1306.8,"I use the service a lot, but the monthly cost is becoming high.",pricing,neutral,3
CUST_000080,AZ,90,415,No,No,0,179.1,71,30.45,190.6,81,16.2,127.7,91,5.75,10.6,7,2.86,3,0,train,0,0,508.0,250,55.26,55.26,12,663.12,The service works well and I have no major complaints.,service_quality,positive,1
CUST_000081,AK,104,408,No,No,0,278.4,106,47.33,81.0,113,6.89,163.2,137,7.34,9.8,5,2.65,1,0,train,0,0,532.3999999999999,361,64.21000000000001,64.21000000000001,18,1155.78,The service works well and I have no major complaints.,service_quality,positive,1
CUST_000082,AZ,99,415,No,No,0,198.2,87,33.69,207.3,76,17.62,190.9,113,8.59,8.7,3,2.35,4,0,train,0,0,605.1,279,62.25000000000001,62.25000000000001,12,747.0,"I contacted customer support several times, but my issue was not solved.",customer_support,negative,5
CUST_000083,MS,120,408,No,No,0,212.1,131,36.06,209.4,104,17.8,167.2,96,7.52,5.3,5,1.43,1,1,train,0,0,594.0,336,62.809999999999995,62.809999999999995,12,753.72,I am considering switching to another provider because I am not satisfied.,churn_intent,negative,5
CUST_000084,IA,98,510,No,Yes,21,161.2,114,27.4,252.2,83,21.44,160.2,92,7.21,4.4,8,1.19,4,0,train,0,1,577.9999999999999,297,57.24,57.24,12,686.88,"I contacted customer support several times, but my issue was not solved.",customer_support,negative,5
CUST_000085,VT,135,415,No,No,0,151.7,82,25.79,119.0,105,10.12,180.0,100,8.1,10.5,6,2.84,0,0,train,0,0,461.2,293,46.849999999999994,46.849999999999994,6,281.1,The service works well and I have no major complaints.,service_quality,positive,1
CUST_000086,IN,122,408,No,No,0,170.5,94,28.99,173.7,109,14.76,248.6,75,11.19,11.3,2,3.05,1,0,train,0,0,604.0999999999999,280,57.989999999999995,57.989999999999995,12,695.88,The service works well and I have no major complaints.,service_quality,positive,1
CUST_000087,AZ,95,408,No,No,0,238.1,65,40.48,187.2,98,15.91,190.0,115,8.55,11.8,4,3.19,4,0,train,0,0,627.0999999999999,282,68.13,68.13,18,1226.34,"I contacted customer support several times, but my issue was not solved.",customer_support,negative,5
CUST_000088,NM,93,510,No,Yes,21,117.9,131,20.04,164.5,115,13.98,217.0,86,9.76,9.8,3,2.65,1,0,train,0,1,509.2,335,46.42999999999999,46.42999999999999,6,278.58,The service works well and I have no major complaints.,service_quality,positive,1
CUST_000089,UT,157,408,No,No,0,229.8,90,39.07,147.9,121,12.57,241.4,108,10.86,9.6,7,2.59,3,0,train,0,0,628.7,326,65.09,65.09,18,1171.62,"I use the service a lot, but the monthly cost is becoming high.",pricing,neutral,3
CUST_000090,MI,120,408,No,No,0,165.0,100,28.05,317.2,83,26.96,119.2,86,5.36,8.3,8,2.24,1,0,train,0,0,609.6999999999999,277,62.61000000000001,62.61000000000001,12,751.32,The service works well and I have no major complaints.,service_quality,positive,1
CUST_000091,MA,103,415,No,No,0,185.0,117,31.45,223.3,94,18.98,222.8,91,10.03,12.6,2,3.4,2,0,train,0,0,643.7,304,63.86,63.86,18,1149.48,"I use the service a lot, but the monthly cost is becoming high.",pricing,neutral,3
CUST_000092,AL,98,408,No,No,0,161.0,117,27.37,190.9,113,16.23,227.7,113,10.25,12.1,4,3.27,4,0,train,0,0,591.6999999999999,347,57.120000000000005,57.120000000000005,12,685.44,"I contacted customer support several times, but my issue was not solved.",customer_support,negative,5
CUST_000093,DE,125,408,No,No,0,126.7,108,21.54,206.0,90,17.51,247.8,114,11.15,13.3,7,3.59,1,0,train,0,0,593.8,319,53.78999999999999,53.78999999999999,6,322.74,The service works well and I have no major complaints.,service_quality,positive,1
CUST_000094,ME,36,510,Yes,Yes,42,196.8,89,33.46,254.9,122,21.67,138.3,126,6.22,20.0,6,5.4,0,1,train,1,1,610.0,343,66.75,66.75,18,1201.5,"The international plan is useful, but it feels too expensive for my usage.",pricing,negative,4
CUST_000095,NJ,64,510,No,No,0,162.6,83,27.64,152.3,109,12.95,57.5,122,2.59,14.2,3,3.83,1,0,train,0,0,386.6,317,47.010000000000005,47.010000000000005,6,282.06,The service works well and I have no major complaints.,service_quality,positive,1
CUST_000096,NV,74,415,No,No,0,282.5,114,48.03,219.9,48,18.69,170.0,115,7.65,9.4,4,2.54,1,1,train,0,0,681.8,281,76.91000000000001,76.91000000000001,18,1384.38,I am considering switching to another provider because I am not satisfied.,churn_intent,negative,5
CUST_000097,MO,112,510,No,Yes,36,113.7,117,19.33,157.5,82,13.39,177.6,118,7.99,10.0,3,2.7,2,0,train,0,1,458.7999999999999,320,43.41,43.41,6,260.46,The service works well and I have no major complaints.,service_quality,positive,1
CUST_000098,NE,46,408,No,No,0,210.2,92,35.73,227.3,77,19.32,200.1,116,9.0,13.1,7,3.54,1,0,train,0,0,650.7,292,67.59,67.59,18,1216.62,"I use the service a lot, but the monthly cost is becoming high.",pricing,neutral,3
CUST_000099,TX,41,408,No,Yes,22,213.8,102,36.35,141.8,86,12.05,142.2,123,6.4,7.2,3,1.94,0,0,train,0,1,505.0,314,56.74,56.74,12,680.88,The service works well and I have no major complaints.,service_quality,positive,1
CUST_000100,MD,121,510,No,No,0,190.7,103,32.42,183.5,117,15.6,220.8,103,9.94,9.8,4,2.65,3,0,train,0,0,604.8,327,60.61,60.61,12,727.32,The service works well and I have no major complaints.,service_quality,positive,1
CUST_000101,MS,193,415,No,No,0,170.9,124,29.05,132.3,95,11.25,112.9,89,5.08,11.6,3,3.13,1,0,train,0,0,427.7000000000001,311,48.51,48.51,6,291.06,The service works well and I have no major complaints.,service_quality,positive,1
CUST_000102,NV,130,510,No,No,0,154.2,119,26.21,110.2,98,9.37,227.4,117,10.23,9.2,5,2.48,2,0,train,0,0,500.99999999999994,339,48.29,48.29,6,289.74,The service works well and I have no major complaints.,service_quality,positive,1
CUST_000103,AZ,85,408,No,No,0,201.4,52,34.24,229.4,104,19.5,252.5,106,11.36,12.0,3,3.24,1,0,train,0,0,695.3,265,68.33999999999999,68.33999999999999,18,1230.12,"I use the service a lot, but the monthly cost is becoming high.",pricing,neutral,3
CUST_000104,MS,162,415,No,No,0,70.7,108,12.02,157.5,87,13.39,154.8,82,6.97,9.1,3,2.46,4,1,train,0,0,392.1,280,34.84,34.84,6,209.04,I am considering switching to another provider because I am not satisfied.,churn_intent,negative,5
CUST_000105,MS,61,510,No,Yes,27,187.5,124,31.88,146.6,103,12.46,225.7,129,10.16,6.4,6,1.73,4,1,train,0,1,566.1999999999999,362,56.23,56.23,12,674.76,I am considering switching to another provider because I am not satisfied.,churn_intent,negative,5
CUST_000106,TX,92,408,No,No,0,91.7,90,15.59,193.7,123,16.46,175.0,86,7.88,9.2,4,2.48,2,0,train,0,0,469.6,303,42.41,42.41,6,254.46,The service works well and I have no major complaints.,service_quality,positive,1
CUST_000107,NE,131,408,No,Yes,36,214.2,115,36.41,161.7,117,13.74,264.7,102,11.91,9.5,4,2.57,3,0,train,0,1,650.0999999999999,338,64.63,64.63,18,1163.34,"I use the service a lot, but the monthly cost is becoming high.",pricing,neutral,3
CUST_000108,NE,90,415,No,No,0,145.5,92,24.74,217.7,114,18.5,146.9,123,6.61,10.9,2,2.94,3,0,train,0,0,521.0,331,52.78999999999999,52.78999999999999,6,316.74,The service works well and I have no major complaints.,service_quality,positive,1
CUST_000109,NJ,78,415,No,No,0,231.0,115,39.27,230.4,140,19.58,261.4,120,11.76,9.5,3,2.57,1,0,train,0,0,732.3,378,73.17999999999999,73.17999999999999,18,1317.24,"I use the service a lot, but the monthly cost is becoming high.",pricing,neutral,3
